country	good1	good2	good3	good4	good5	good6	good7	good8	good9	good10	good11	good12	good13	good14	good15	good16	good17	good18	good19	good20	good21	good22	good23	good24	good25	good26	good27	good28	good29	good30	good31	good32	good33	good34	good35	good36	good37	good38	good39	good40	good41	good42	good43	good44	good45	good46	good47	good48	good49	good50
1	0.162	-0.315	0.452	0.647	0.0923	0.438	0.119	0.622	-0.0778	-0.189	0.477	-0.194	0.376	0.288	-0.25	0.114	1.58	0.609	-0.0554	0.0287	0.196	-0.0803	-0.0521	0.297	-0.53	0.128	0.28	0.0592	0.108	0.108	0.108	0.185	-1.35	0.264	0.126	0.332	0.296	0.564	0.135	0.612	0.234	0.19	0.316	0.206	0.291	0.0577	0.686	0.499	-0.139	-0.199
2	0.568	0.0409	0.627	0.779	0.0421	0.451	0.322	0.894	0.261	0.291	0.236	0.233	0.65	0.587	0.507	-0.136	1.62	0.337	0.0216	-0.00519	0.415	-0.0525	0.0497	0.406	-0.328	0.0727	0.613	0.64	0.289	0.289	0.0748	0.0541	-1.64	0.144	0.381	0.267	0.401	0.504	0.352	0.434	0.336	0.447	0.758	0.715	0.544	0.273	0.617	-0.00804	0.407	-0.3
3	0.515	-0.101	0.408	0.674	-0.0963	0.74	0.101	0.48	0.155	-0.17	0.0896	0.19	0.602	0.359	0.238	0.104	1.95	0.422	0.412	0.103	0.642	0.107	0.0699	0.125	-0.253	0.507	0.413	0.25	0.396	0.396	0.443	0.243	-1.2	0.337	0.259	0.0743	0.285	0.541	0.217	0.561	0.632	0.388	0.984	0.61	0.319	0.333	0.676	0.481	0.0893	-0.154
4	0.417	0.248	0.249	0.192	0.0495	0.511	0.283	0.527	-0.0868	-0.142	0.192	-0.308	0.372	0.259	0.428	-0.182	1.76	0.32	-0.0146	-0.0601	0.00352	0.225	-0.331	0.0665	-0.57	0.0487	0.271	0.393	0.277	0.277	0.209	0.181	-0.938	0.358	-0.125	0.429	0.289	0.414	0.199	0.457	0.259	0.247	0.247	0.149	0.0355	0.289	0.652	0.0388	0.275	0.242
5	0.649	-0.0202	0.627	0.633	0.278	1.19	0.744	0.856	0.612	0.053	0.825	0.611	0.734	0.458	0.499	0.114	2.01	0.62	0.736	0.0616	0.487	0.000336	0.139	0.359	-0.407	0.205	0.725	0.525	0.637	0.637	0.664	0.318	-1.31	0.961	0.124	-0.0173	0.678	0.66	0.377	0.892	0.632	0.678	0.83	0.826	0.369	0.531	0.787	0.211	0.223	-0.398
6	0.797	0.153	0.754	0.923	0.155	1.15	0.723	0.712	0.41	0.165	0.782	0.614	0.75	0.639	0.806	-0.0476	1.95	0.615	0.525	0.267	0.326	0.0197	0.331	0.251	-0.392	0.0111	0.845	0.849	0.898	0.898	0.891	0.372	-0.947	0.794	0.439	0.704	0.97	0.727	0.64	1.16	0.722	0.757	1.16	0.704	1.16	0.588	0.745	0.291	0.511	-0.48
7	0.579	-0.000171	0.528	0.751	-0.0247	0.308	0.209	0.598	0.288	-0.00676	0.214	0.194	0.559	0.439	0.52	0.0338	2.02	0.573	0.51	0.175	0.721	0.0473	0.0954	0.607	-0.0874	0.216	0.578	-0.025	0.183	0.183	0.266	0.198	-1.36	0.546	0.271	0.239	0.0243	0.663	0.0773	0.613	0.564	0.532	1.16	0.922	0.508	0.511	0.693	0.435	0.08	0.211
8	0.255	-0.149	0.292	0.591	-0.225	0.615	0.132	0.491	0.245	0.0213	0.144	0.149	0.44	0.225	0.379	-0.0487	1.82	0.572	0.669	0.14	0.351	0.229	-0.0612	0.555	-0.52	0.382	0.529	-0.00979	0.136	0.136	0.183	0.12	-1.13	0.313	0.0397	0.188	0.378	0.554	0.219	0.618	0.466	0.438	0.943	0.782	0.233	0.321	0.601	0.378	-0.108	-0.099
9	0.467	0.222	0.502	0.98	0.0345	0.49	-0.22	0.421	-0.24	-0.43	0.772	0.118	0.812	0.31	0.5	-0.0587	1.9	0.381	-0.195	0.171	0.489	0.0275	0.141	0.538	-0.0171	0.17	0.758	-0.128	0.275	0.275	0.473	-0.0753	-1.56	0.161	0.64	0.182	0.317	0.313	0.21	0.13	0.217	0.192	0.944	0.00159	0.229	-0.0207	0.264	0.234	-0.272	-0.589
10	0.166	-0.158	0.453	0.768	-0.105	0.424	0.0447	0.955	-0.0757	0.285	0.196	0.221	0.524	0.272	0.407	-0.0205	2.08	0.671	0.59	0.323	0.498	0.0974	0.23	0.596	-0.074	0.143	0.575	0.377	0.353	0.353	0.3	0.164	-1.62	0.853	0.0372	0.306	0.354	0.301	0.385	0.577	0.508	0.452	1.04	0.791	0.365	0.332	0.592	0.35	0.292	-0.195
11	0.816	-0.133	0.445	0.872	1.07	1.11	0.495	0.727	-0.0779	0.278	0.0465	0.0806	0.0344	0.167	0.469	0.256	1.97	0.785	0.393	0.00304	-0.0912	0.393	0.308	0.471	-0.837	-0.186	0.125	-0.333	-0.284	-0.284	-0.291	0.559	-1.03	0.449	0.256	0.27	0.491	0.535	0.195	0.999	0.416	0.49	1.07	0.5	0.0114	0.223	0.514	-0.353	0.472	-0.527
12	0.304	-0.224	0.344	0.53	-0.199	0.856	0.193	0.733	0.17	-0.0741	0.3	0.257	0.332	0.399	0.619	0.142	1.82	0.439	0.549	0.0677	0.308	-0.0933	-0.0186	0.529	-0.435	-0.0707	0.562	0.0559	0.202	0.202	0.249	0.199	-1.39	0.177	-0.0536	-0.394	0.57	0.703	0.119	0.478	0.323	0.28	0.704	0.412	0.402	0.298	0.648	0.571	-0.0454	-0.395
13	0.463	0.475	0.465	0.7	0.0957	0.126	0.0271	0.686	-0.0935	-0.477	0.273	-0.149	0.156	0.221	-0.627	0.183	1.72	0.695	-0.253	-0.0929	0.0398	-0.00332	-0.243	0.14	-0.709	0.0871	0.418	-0.193	-0.144	-0.144	-0.152	-0.071	-1.25	0.369	0.227	0.15	-0.0665	0.658	0.391	0.359	0.267	0.121	-0.225	-0.0189	0.388	0.193	0.115	-0.0305	0.425	-0.795
14	0.559	0.0589	0.462	0.84	0.169	1.27	0.77	0.605	0.567	-0.225	0.745	0.666	0.771	0.581	0.996	-0.0256	1.83	0.544	0.443	0.196	0.966	0.342	-0.0446	0.329	-0.307	0.202	0.705	1.1	1	1	0.946	0.0688	-0.912	0.744	0.444	0.528	0.539	0.605	0.264	0.978	0.552	0.721	0.721	0.704	1.02	0.395	0.69	0.177	0.341	-0.174
15	0.189	-0.128	0.55	0.504	-0.276	-0.667	-0.209	0.406	-0.253	-0.639	0.643	0.0376	0.204	0.329	0.256	0.0748	1.79	0.511	0.246	-0.000397	0.465	0.0997	0.0226	0.31	-0.397	0.352	0.566	0.455	0.492	0.492	0.474	-0.0616	-1.71	0.106	-0.405	-0.0629	0.0457	0.299	0.145	-0.252	0.355	0.161	0.825	0.197	0.146	-0.0164	0.161	0.164	-0.282	-0.584
16	0.613	0.132	0.577	0.808	-2.67E-06	0.0348	0.255	0.461	0.0276	-0.104	0.429	0.341	0.536	0.486	0.434	-0.155	2.12	0.436	0.341	0.122	0.382	-0.183	0.34	0.556	-0.259	0.35	0.571	0.525	0.671	0.671	0.718	0.0994	-1.51	0.633	0.273	0.175	0.431	0.323	0.257	0.425	0.758	0.404	1.17	0.526	0.665	-0.143	0.234	0.124	0.108	-0.324
17	0.514	-0.0543	0.579	0.824	-0.0726	1.37	0.661	0.655	0.18	0.0949	0.269	0.508	0.52	0.435	0.524	0.0426	1.76	0.281	0.281	0.198	-0.0953	0.133	0.0465	0.294	-0.319	0.0429	0.734	0.381	0.381	0.381	0.374	0.0146	-0.972	0.819	0.245	0.422	0.694	0.572	0.29	0.833	0.351	0.318	0.654	0.698	1.09	0.293	0.509	0.152	0.367	-0.282
18	0.202	-0.411	0.46	0.501	-0.398	0.447	0.261	1.07	0.514	-0.00845	0.29	0.124	0.158	0.0911	0.305	0.136	1.91	0.594	-0.00496	0.0623	0.411	0.149	0.158	0.551	-0.264	-0.111	0.545	0.374	0.499	0.499	0.534	0.014	-1.38	-0.019	-0.37	-0.115	0.0459	0.452	0.245	0.3	0.099	0.101	0.608	0.593	0.517	-0.0604	0.335	-0.123	-0.177	-0.275
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
